Suite,Rows,State,Planner,work_mem,Query,Variant,n,Execution median ms,95% CI ms,p95 ms,CV,Speedup vs seq,Access,Planning median ms,Plan+execution median ms
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_c1m,roaring_bitmap,7,0.327,0.310–0.981,1.011,78.0%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.065,0.392
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_medium,btree,7,13.349,12.416–14.247,14.947,8.8%,—,Index Scan,0.041,13.386
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_medium,gin,7,147.971,88.753–262.998,306.817,49.8%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.080,148.075
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_medium,roaring,7,92.489,89.035–93.155,94.956,2.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.039,92.532
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_medium,roaring_bitmap,7,154.352,130.997–256.327,272.568,35.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.042,154.394
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_rare,btree,7,0.259,0.226–0.295,0.296,20.1%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.063,0.301
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_rare,gin,7,1.252,0.239–1.505,1.562,71.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.042,1.294
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_rare,roaring,7,0.237,0.208–0.273,0.279,12.3%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.040,0.278
scalar,5000000,low_work_mem,prefer_index,64kB,fetch_rare,roaring_bitmap,7,1.314,0.245–2.225,2.298,64.6%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.067,1.378
scalar,5000000,low_work_mem,prefer_index,64kB,group_c200,btree,7,381.666,380.561–388.364,389.524,1.1%,—,Index Only Scan,0.058,381.727
scalar,5000000,low_work_mem,prefer_index,64kB,group_c200,gin,7,996.455,901.900–1020.801,1023.150,9.1%,—,Seq Scan (fallback),0.044,996.511
scalar,5000000,low_work_mem,prefer_index,64kB,group_c200,roaring,7,19.103,17.645–19.925,19.991,5.4%,—,LionCount,0.039,19.143
scalar,5000000,low_work_mem,prefer_index,64kB,group_c200,roaring_bitmap,7,957.926,945.030–1022.000,1050.053,7.7%,—,Seq Scan (fallback),0.040,957.959
scalar,5000000,low_work_mem,prefer_index,64kB,in_c20k_1000,btree,7,16.211,16.185–16.545,16.854,1.9%,—,Index Only Scan,0.488,16.699
scalar,5000000,low_work_mem,prefer_index,64kB,in_c20k_1000,gin,7,1005.818,840.251–1054.438,1067.573,10.9%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.690,1006.563
scalar,5000000,low_work_mem,prefer_index,64kB,in_c20k_1000,roaring,7,6.737,6.682–7.159,7.256,3.9%,—,LionCount,0.871,7.608
scalar,5000000,low_work_mem,prefer_index,64kB,in_c20k_1000,roaring_bitmap,7,914.646,832.618–1116.355,1156.188,14.2%,—,"Bitmap Heap Scan, Bitmap Index Scan",0.504,915.147
