2026-09-24 15:29:25.561 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.005 s, sync=0.039 s, total=0.064 s; sync files=15, longest=0.028 s, average=0.003 s; distance=30650 kB, estimate=1257869 kB; lsn=1/42ED47C8, redo lsn=1/42ED4770
2026-09-24 15:29:26.918 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:29:26.990 PDT [1877464] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.044 s, total=0.073 s; sync files=15, longest=0.033 s, average=0.003 s; distance=30651 kB, estimate=1135147 kB; lsn=1/44CC3678, redo lsn=1/44CC3620
2026-09-24 15:29:28.355 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:29:28.416 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.005 s, sync=0.031 s, total=0.061 s; sync files=15, longest=0.020 s, average=0.003 s; distance=30647 kB, estimate=1024697 kB; lsn=1/46AB1608, redo lsn=1/46AB15B0
2026-09-24 15:29:29.683 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:29:29.740 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.030 s, total=0.057 s; sync files=15, longest=0.017 s, average=0.002 s; distance=30800 kB, estimate=925307 kB; lsn=1/488C5758, redo lsn=1/488C5700
2026-09-24 15:29:31.013 PDT [1877464] LOG:  checkpoint starting: immediate force wait
2026-09-24 15:29:31.096 PDT [1877464] LOG:  checkpoint complete: wrote 13 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.005 s, sync=0.050 s, total=0.083 s; sync files=15, longest=0.039 s, average=0.004 s; distance=52249 kB, estimate=838001 kB; lsn=1/4BBCBD70, redo lsn=1/4BBCBD18
2026-09-24 15:29:32.194 PDT [1877464] LOG:  checkpoint starting: immediate force wait
