suite,rows,variant,phase,mode,memory,case,n,median_ms,min_ms,max_ms,planning_median_ms,plan,baseline_median_ms,change_pct,baseline_plan,plan_changed
scalar,5000000,btree,dirty_scattered,default,64MB,and2,2,220.59300000000002,219.247,221.939,0.08499999999999999,"Bitmap Heap Scan, Bitmap Index Scan",224.4345,-1.7116352432446913,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c200_17,2,1.867,1.58,2.154,0.064,Index Only Scan,1.945,-4.010282776349616,Index Only Scan,False
scalar,5000000,btree,dirty_scattered,default,64MB,eq_c2_0,2,638.3755,631.447,645.304,0.0495,"Bitmap Heap Scan, Bitmap Index Scan",651.8815,-2.0718489480066493,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,btree,dirty_scattered,default,64MB,group_c200,2,947.0595000000001,942.825,951.294,0.0475,Seq Scan,956.9085,-1.029252013123505,Seq Scan,False
scalar,5000000,btree,dirty_scattered,prefer_index,64MB,group_c200,2,415.1025,406.451,423.754,0.061,Index Only Scan,415.94100000000003,-0.20159109104416206,Index Only Scan,False
scalar,5000000,gin,after_maintenance,default,64MB,eq_c200_17,2,17.548000000000002,15.296,19.8,0.051500000000000004,"Bitmap Heap Scan, Bitmap Index Scan",18.4055,-4.658933470973336,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,after_maintenance,default,64MB,group_c200,2,1019.433,1005.215,1033.651,0.033,Seq Scan,1022.826,-0.3317279771926085,Seq Scan,False
scalar,5000000,gin,clean,default,64MB,and2,2,183.4435,174.739,192.148,0.062,"Bitmap Heap Scan, Bitmap Index Scan",178.6575,2.678868785245503,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,and3,2,26.451999999999998,26.124,26.78,0.086,"Bitmap Heap Scan, Bitmap Index Scan",28.8925,-8.446828761789394,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,eq_c200_17,2,108.29,66.852,149.728,0.063,"Bitmap Heap Scan, Bitmap Index Scan",110.119,-1.6609304479699216,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,eq_c20k_123,2,0.978,0.232,1.724,0.053,"Bitmap Heap Scan, Bitmap Index Scan",1.1464999999999999,-14.696903619712154,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,eq_c2_0,2,923.2925,898.428,948.157,0.05600000000000001,"Bitmap Heap Scan, Bitmap Index Scan",958.4,-3.6631364774624364,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,fetch_medium,2,75.1345,18.035,132.234,0.044,"Bitmap Heap Scan, Bitmap Index Scan",79.97349999999999,-6.050754312365958,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,group_c200,2,1231.8425,1145.311,1318.374,0.033,Seq Scan,1252.029,-1.6123029099166297,Seq Scan,False
scalar,5000000,gin,clean,default,64MB,in_c20k_100,2,247.93400000000003,222.33,273.538,0.14300000000000002,"Bitmap Heap Scan, Bitmap Index Scan",255.224,-2.856314453186204,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,clean,default,64MB,is_null,2,734.407,681.023,787.791,0.0495,Seq Scan,746.335,-1.5982099191381827,Seq Scan,False
scalar,5000000,gin,clean,default,64MB,range_random,2,379.02750000000003,272.869,485.186,0.0625,"Bitmap Heap Scan, Bitmap Index Scan",381.769,-0.7181044034481499,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,dirty_scattered,default,64MB,and2,2,178.31150000000002,173.085,183.538,0.0765,"Bitmap Heap Scan, Bitmap Index Scan",177.71550000000002,0.33536748342153366,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c200_17,2,96.13149999999999,62.319,129.944,0.07150000000000001,"Bitmap Heap Scan, Bitmap Index Scan",97.88399999999999,-1.7903845367986615,"Bitmap Heap Scan, Bitmap Index Scan",False
scalar,5000000,gin,dirty_scattered,default,64MB,eq_c2_0,2,809.815,785.128,834.502,0.076,"Bitmap Heap Scan, Bitmap Index Scan",802.671,0.8900284176206696,"Bitmap Heap Scan, Bitmap Index Scan",False
