2026-09-25 09:16:31.168 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.004 s, sync=0.025 s, total=0.056 s; sync files=15, longest=0.012 s, average=0.002 s; distance=40838 kB, estimate=182055 kB; lsn=0/60063D30, redo lsn=0/60063CD8
2026-09-25 09:16:31.721 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:31.757 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.018 s, total=0.037 s; sync files=15, longest=0.007 s, average=0.002 s; distance=1156 kB, estimate=163965 kB; lsn=0/60184E70, redo lsn=0/60184E18
2026-09-25 09:16:46.173 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:46.361 PDT [2049302] LOG:  checkpoint complete: wrote 10022 buffers (15.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.125 s, sync=0.033 s, total=0.189 s; sync files=22, longest=0.017 s, average=0.002 s; distance=77316 kB, estimate=155300 kB; lsn=0/64D060C8, redo lsn=0/64D06070
2026-09-25 09:16:46.598 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:46.693 PDT [2049302] LOG:  checkpoint complete: wrote 6401 buffers (9.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 4 recycled; write=0.051 s, sync=0.011 s, total=0.096 s; sync files=10, longest=0.005 s, average=0.002 s; distance=52246 kB, estimate=144995 kB; lsn=0/6800BAA8, redo lsn=0/6800BA50
2026-09-25 09:16:46.965 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:16:47.062 PDT [2049302] LOG:  checkpoint complete: wrote 7503 buffers (11.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 3 recycled; write=0.056 s, sync=0.015 s, total=0.097 s; sync files=12, longest=0.005 s, average=0.002 s; distance=61347 kB, estimate=136630 kB; lsn=0/6BBF48F8, redo lsn=0/6BBF48A0
2026-09-25 09:16:47.202 PDT [2049302] LOG:  checkpoint starting: immediate force wait
